clust_id,X_position,Y_position,type,GenesDetected,x_axis
1,23975,27060,Germinal center,8509,0.45
1,25384,18364,Germinal center,10280,0.547895385
1,9503,34845,Germinal center,9993,0.277677977
1,9318,33128,Germinal center,9364,0.728678848
1,21798,36418,Germinal center,10447,0.730419978
1,25388,26749,Germinal center,9591,0.443381159
1,9260,15437,Germinal center,8335,0.529270584
1,6925,16105,Germinal center,9004,0.664213232
1,11177,16145,Germinal center,9712,0.569277224
1,7333,20899,Germinal center,10228,0.333677303
1,12921,26841,Germinal center,9042,0.434002633
1,20423,22880,Germinal center,8314,0.642612238
1,22106,13564,Germinal center,9313,0.59443572
1,27284,24303,Germinal center,7557,0.538314329
1,21345,12134,Germinal center,8106,0.648346473
2,3849,25684,CD11c+,8593,1.539128493
2,21741,29893,CD11c+,6730,1.6
2,18493,9579,CD11c+,7805,1.5
2,14101,37273,CD11c+,8150,1.478851423
2,21888,32371,CD11c+,7351,1.4
2,16887,39225,CD11c+,9574,1.444114908
3,3849,25684,CD20+,10829,2.407358243
3,21741,29893,CD20+,10671,2.6
3,18493,9579,CD20+,9988,2.390774053
3,14101,37273,CD20+,10986,2.5
3,21888,32371,CD20+,9818,2.624365517
3,16887,39225,CD20+,10364,2.552554258
4,3849,25684,CD3+,8281,3.664168187
4,21741,29893,CD3+,8578,3.637771458
4,18493,9579,CD3+,7256,3.5
4,14101,37273,CD3+,8243,3.447766505
4,21888,32371,CD3+,8428,3.340961649
4,16887,39225,CD3+,9139,3.5
5,24303,27332,Mantle zone,8945,4.531743795
5,25645,18105,Mantle zone,9519,4.382450205
5,9380,34978,Mantle zone,9216,4.531661865
5,8967,33528,Mantle zone,9773,4.683282063
5,22224,36621,Mantle zone,8656,4.717524953
5,25314,27219,Mantle zone,7963,4.483754341
6,23615,27609,Paracortex zone,10818,5.55
6,25105,18785,Paracortex zone,11029,5.461721886
6,10097,34409,Paracortex zone,10233,5.6
6,10169,32873,Paracortex zone,8954,5.4
6,20756,36279,Paracortex zone,8791,5.6
6,26014,26134,Paracortex zone,11797,5.439595894
