clust_id,X_position,Y_position,type,PDCD1,x_axis
1,23975,27060,Germinal center,35.15076113,0.542127594
1,25384,18364,Germinal center,29.56269141,0.547895385
1,9503,34845,Germinal center,31.24512101,0.277677977
1,9318,33128,Germinal center,42.08526503,0.728678848
1,21798,36418,Germinal center,28.77840093,0.730419978
1,25388,26749,Germinal center,35.58472115,0.443381159
1,9260,15437,Germinal center,31.24512101,0.529270584
1,6925,16105,Germinal center,26.1907632,0.664213232
1,11177,16145,Germinal center,35.15076113,0.569277224
1,7333,20899,Germinal center,42.60698319,0.333677303
1,12921,26841,Germinal center,54.07809405,0.434002633
1,20423,22880,Germinal center,16.73845768,0.642612238
1,22106,13564,Germinal center,55.38907815,0.59443572
1,27284,24303,Germinal center,31.8030696,0.638314329
1,21345,12134,Germinal center,61.51383198,0.5
2,3849,25684,Germinal center - CD11c+,11.71692038,1.539128493
2,21741,29893,Germinal center - CD11c+,16.54153465,1.689038634
2,18493,9579,Germinal center - CD11c+,33.0830693,1.5
2,14101,37273,Germinal center - CD11c+,10.41504034,1.478851423
2,21888,32371,Germinal center - CD11c+,17.57538057,1.5
2,16887,39225,Germinal center - CD11c+,20.08614922,1.444114908
3,3849,25684,Germinal center - CD20+,19.96216064,2.407358243
3,21741,29893,Germinal center - CD20+,21.84510579,2.418408398
3,18493,9579,Germinal center - CD20+,24.99609681,2.390774053
3,14101,37273,Germinal center - CD20+,22.54394807,2.6
3,21888,32371,Germinal center - CD20+,17.12472978,2.624365517
3,16887,39225,Germinal center - CD20+,16.96933296,2.352554258
4,3849,25684,Germinal center - CD3+,76.86299768,3.664168187
4,21741,29893,Germinal center - CD3+,57.05630793,3.637771458
4,18493,9579,Germinal center - CD3+,79.67505857,3.565518808
4,14101,37273,Germinal center - CD3+,67.37229217,3.447766505
4,21888,32371,Germinal center - CD3+,50.21537305,3.340961649
4,16887,39225,Germinal center - CD3+,76.69256974,3.268060838
5,24303,27332,Mantle zone,23.43384076,4.531743795
5,25645,18105,Mantle zone,42.10147661,4.5
5,9380,34978,Mantle zone,30.6442533,4.531661865
5,8967,33528,Mantle zone,25.7016318,4.4
5,22224,36621,Mantle zone,25.10768652,4.717524953
5,25314,27219,Mantle zone,27.03904703,4.483754341
6,23615,27609,Paracortex zone,23.9120824,5.394617728
6,25105,18785,Paracortex zone,28.68022301,5.461721886
6,10097,34409,Paracortex zone,19.80822766,5.253317397
6,10169,32873,Paracortex zone,18.33952755,5.45
6,20756,36279,Paracortex zone,22.05537953,5.697766289
6,26014,26134,Paracortex zone,28.58928572,5.6
